"Overall Rank","Country","Score","Change Over Prior Year","GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Trust"
"137","Botswana","3.974","-0.765","1.0942573547","0.8918649554","0.347515285","0.4408920407","0.1242517233","0.10769476"
"138","Comoros","3.956","0.000","0.2750940025","0.6032307148","0.2998083532","0.1541177928","0.1827025265","0.184365198"
"139","Ivory Coast","3.916","0.000","0.5550658703","0.5757588148","0.0447590686","0.4066289961","0.2033821046","0.1552985609"
"140","Cambodia","3.907","0.045","0.5560393333","0.5374981761","0.424944222","0.588519156","0.4033884108","0.0809228942"
"141","Angola","3.866","0.000","0.8473098278","0.6636593938","0.0499126837","0.0058863508","0.1207074374","0.084338747"
"142","Niger","3.856","-0.144","0.1327024996","0.6052974463","0.261615485","0.3804078996","0.2097005248","0.1717639118"
"143","South Sudan","3.832","0.000","0.3939363658","0.1851870269","0.1578136235","0.1966249794","0.258987993","0.1301515698"
"144","Chad","3.763","-0.025","0.4221419394","0.6317756176","0.0382350907","0.1280715764","0.1866670847","0.0495247319"
"145","Burkina Faso","3.739","-0.170","0.3199520111","0.6305371523","0.2129663825","0.3336973786","0.2435251325","0.1253268421"
"146","Uganda","3.739","-0.356","0.3471852541","0.9098122716","0.1962496191","0.4365302622","0.2710182667","0.0644209236"
"147","Yemen","3.724","-0.754","0.5793884397","0.4749314487","0.3104755282","0.2286957204","0.0982092246","0.0589223914"
"148","Madagascar","3.695","-0.285","0.2795436084","0.4611546695","0.3710902631","0.1368377805","0.2203976661","0.0750585049"
"149","Tanzania","3.666","-0.460","0.4715463221","0.7762331367","0.3569995463","0.3176018596","0.3147176206","0.0509896576"
"150","Liberia","3.622","-0.080","0.1070632562","0.5035267472","0.2316546589","0.2574831545","0.2406293005","0.0485215448"
"151","Guinea","3.607","0.000","0.224151656","0.3108991385","0.188288182","0.3095276356","0.2991373837","0.1192028522"
"152","Rwanda","3.515","-0.700","0.3284611106","0.6158624887","0.3186502159","0.5431972146","0.235517174","0.5052086711"
"153","Benin","3.484","0.154","0.3949922621","0.1041889489","0.2102836668","0.3974654675","0.2018008232","0.0668050647"
"154","Afghanistan","3.360","0.000","0.3822656572","0.1103684977","0.1734360456","0.164304629","0.3126798272","0.0711163208"
"155","Togo","3.303","0.100","0.2812265158","0","0.2481121719","0.3467806578","0.1751681417","0.1158718988"
"156","Syria","3.069","0.000","0.7471852303","0.148658514","0.6299359202","0.0691248626","0.4839687645","0.1723297089"
"157","Burundi","2.905","0.000","0.0683097318","0.2344244421","0.157467261","0.0432013497","0.202902168","0.0941875055"
